event_count,trial,seed,query_type,sample_position,query_key,row_count,row_sha256,full_indexes_connect_plus_first_query_ms,no_service_index_connect_plus_first_query_ms,no_correlation_index_connect_plus_first_query_ms,no_lookup_indexes_connect_plus_first_query_ms
10000,3,9440,correlation,4,corr-9440-00000745,6,91eab432f471364bcf797e366d53e2be986e12f0ffda22dc6bc5231f99601525,0.106,0.100167,0.944834,0.934709
10000,3,9440,correlation,5,corr-9440-00001363,6,75f4a46d2b6b8ce10de662ac748c6668aa11d3275fe68fdd16713f86ea3f6665,0.110584,0.141375,0.836125,0.812084
10000,3,9440,correlation,6,corr-9440-00000544,6,c46755e7a3acb7e75ac30829b84a2049b5e0d3d015f4160aa42dfaa7393891ae,0.105458,0.090917,0.835958,0.854417
10000,3,9440,correlation,7,corr-9440-00001065,6,08dea45e7e32bb3bc58fb7823abd15a6c6e9442e672fb60f046cbce2eea5c363,0.098833,0.100667,0.926917,0.853917
10000,3,9440,correlation,8,corr-9440-00001415,6,e8a4305e34be22988529587fb2a85b8b28c7fede426d76812b6d2c334fde2215,0.117125,0.097834,0.860209,0.854125
10000,3,9440,correlation,9,corr-9440-00001064,6,76d4c50ad22d3c4fa7a495a413bb04329ac303192a6ed16554eafa5c22725288,0.107291,0.101792,0.839292,0.85425
10000,3,9440,correlation,10,corr-9440-00001190,6,5f91eedd99c4bf81b7465d3403ef2782a9221e096e181206d4b04a7caf8261a7,0.108958,0.101542,0.846708,0.852791
10000,3,9440,correlation,11,corr-9440-00000514,6,0e177b1e085baf0877a9faeafb6e4c50392df10c15fc583683e746438b981612,0.128291,0.097792,0.8945,0.979041
10000,3,9440,correlation,12,corr-9440-00000380,6,de0413b827e8acbd567f84acbc34043148aaa270ccd3add7391b604743204320,0.108041,0.111375,0.85,0.879875
10000,3,9440,correlation,13,corr-9440-00001211,6,197e7876e2659f6cebf866ab8766cac983d0d380b7a35f9acfa4377ed69b5a28,0.100166,0.098958,0.856625,0.866
10000,3,9440,correlation,14,corr-9440-00000145,6,ed11ad7c581062bea90b0ce30cd37a84a04a0595cbce176c12ec49e69223dd81,0.117459,0.103041,0.862583,0.948667
10000,3,9440,correlation,15,corr-9440-00001450,6,401d65e721c2690817dd2f40aec6b01b06237847e9d4d3764a378f385c5d8e5a,0.102458,0.094042,0.883084,0.8545
10000,3,9440,correlation,16,corr-9440-00000574,6,e0f3849ceed50c834d005de740b68a28b63593d266dd6cd42f6cede9051988e3,0.111291,0.097584,0.859875,0.86975
10000,3,9440,correlation,17,corr-9440-00001234,6,9661f3e6af7aab9cc7d558597a00a906484ea9e9e78d2aab9e35c19a455e6c60,0.105125,0.103458,0.871708,0.869084
